numRfBlocks,spectrum,span,res,center,pga
3,3,128000000,500000,1191937500,16
3,19,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,12,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,7,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,3,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,13,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,6,128000000,500000,1254906250,19
3,3,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,7,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,3,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,13,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,7,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,4,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,13,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,7,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,12,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,3,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,17,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,7,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,13,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,7,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,4,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,4,128000000,500000,1586000000,19
3,8,128000000,500000,1191937500,16
3,27,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,12,128000000,500000,1254906250,19
3,3,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,3,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,3,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,3,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,13,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,12,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,7,128000000,500000,1254906250,19
3,3,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,7,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,17,128000000,500000,1254906250,19
3,3,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,3,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,3,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,12,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,12,128000000,500000,1254906250,19
3,5,128000000,500000,1586000000,19
3,5,128000000,500000,1191937500,16
3,25,128000000,500000,1254906250,19
3,3,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,13,128000000,500000,1254906250,19
3,4,128000000,500000,1586000000,19
3,3,128000000,500000,1191937500,16
3,24,128000000,500000,1254906250,19
3,4,128000000,500000,1586000000,19
3,3,128000000,500000,1191937500,16
3,17,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,7,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,3,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,21,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,7,128000000,500000,1254906250,19
3,3,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,19,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,7,128000000,500000,1254906250,19
3,3,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,7,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,12,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,4,128000000,500000,1586000000,19
3,4,128000000,500000,1191937500,16
3,25,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,14,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,13,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,7,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,12,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,12,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,3,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,14,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,7,128000000,500000,1254906250,19
3,1,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,2,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,12,128000000,500000,1254906250,19
3,6,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,5,128000000,500000,1586000000,19
3,4,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,4,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,5,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,13,128000000,500000,1254906250,19
3,5,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,7,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,19
3,4,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,19
3,7,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,12,128000000,500000,1254906250,19
3,6,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,9,128000000,500000,1254906250,19
3,6,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,18,128000000,500000,1254906250,19
3,6,128000000,500000,1586000000,19
3,4,128000000,500000,1191937500,16
3,15,128000000,500000,1254906250,19
3,9,128000000,500000,1586000000,19
3,8,128000000,500000,1191937500,16
3,24,128000000,500000,1254906250,19
3,6,128000000,500000,1586000000,19
3,4,128000000,500000,1191937500,16
3,17,128000000,500000,1254906250,19
3,6,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,14,128000000,500000,1254906250,19
3,7,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,13,128000000,500000,1254906250,19
3,7,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,12,128000000,500000,1254906250,19
3,7,128000000,500000,1586000000,19
3,5,128000000,500000,1191937500,16
3,17,128000000,500000,1254906250,19
3,9,128000000,500000,1586000000,19
3,7,128000000,500000,1191937500,16
3,16,128000000,500000,1254906250,19
3,6,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,12,128000000,500000,1254906250,19
3,4,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,15,128000000,500000,1254906250,19
3,6,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,13,128000000,500000,1254906250,19
3,7,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,12,128000000,500000,1254906250,19
3,6,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,14,128000000,500000,1254906250,19
3,7,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,11,128000000,500000,1254906250,19
3,8,128000000,500000,1586000000,19
3,5,128000000,500000,1191937500,16
3,21,128000000,500000,1254906250,19
3,7,128000000,500000,1586000000,19
3,5,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,5,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,10,128000000,500000,1586000000,19
3,10,128000000,500000,1191937500,16
3,5,128000000,500000,1254906250,16
3,4,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,6,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,5,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,6,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,6,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,7,128000000,500000,1586000000,19
3,6,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,7,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,5,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,6,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,6,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,6,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,9,128000000,500000,1586000000,19
3,5,128000000,500000,1191937500,16
3,4,128000000,500000,1254906250,16
3,7,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,6,128000000,500000,1586000000,19
3,3,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,8,128000000,500000,1586000000,19
3,9,128000000,500000,1191937500,16
3,6,128000000,500000,1254906250,16
3,6,128000000,500000,1586000000,19
3,3,128000000,500000,1191937500,16
3,3,128000000,500000,1254906250,16
3,8,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,7,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,6,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,5,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,6,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,6,128000000,500000,1586000000,19
3,7,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,6,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,6,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,7,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,8,128000000,500000,1586000000,19
3,5,128000000,500000,1191937500,16
3,3,128000000,500000,1254906250,16
3,11,128000000,500000,1586000000,19
3,13,128000000,500000,1191937500,16
3,10,128000000,500000,1254906250,16
3,7,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,5,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,7,128000000,500000,1586000000,19
3,4,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,7,128000000,500000,1586000000,19
3,6,128000000,500000,1191937500,16
3,3,128000000,500000,1254906250,16
3,6,128000000,500000,1586000000,19
3,3,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,7,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,5,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,5,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,6,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,5,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,5,128000000,500000,1586000000,19
3,5,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,6,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,6,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,7,128000000,500000,1586000000,19
3,1,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,10,128000000,500000,1586000000,19
3,8,128000000,500000,1191937500,16
3,8,128000000,500000,1254906250,16
3,8,128000000,500000,1586000000,19
3,2,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
3,7,128000000,500000,1586000000,19
3,5,128000000,500000,1191937500,16
3,1,128000000,500000,1254906250,16
